polymer_number,monomer_1,monomer_1_mass_mg,monomer_2,monomer_2_mass_mg,monomer_other,base_mass_mg_total,base_reagents,base_volume_ml_total,catalyst_mass_mg_total,catalyst_reagents,catalyst_volume_ml_total,co-catalyst_mass_mg_total,co-catalyst_reagents,co-catalyst_volume_ml_total,initiator_mass_mg_total,initiator_reagents,initiator_volume_ml_total,quenching agent_mass_mg_total,quenching agent_reagents,quenching agent_volume_ml_total,solvent_mass_mg_total,solvent_reagents,solvent_volume_ml_total,successful
118,Succinyl Chloride,1129.64,"2,4,7,9-Tetramethyl-5-decyne-4,7-diol",1500,,344.566,NaOH,0,,,,,,,,,,,,,0,Water; Diisopropyl Ether,15,0
119,Sebacoyl Chloride,1743.2,"2,4,7,9-Tetramethyl-5-decyne-4,7-diol",1500,,344.566,NaOH,0,,,,,,,,,,,,,0,Water; Diisopropyl Ether,15,0
120,Terephthaloyl Chloride,1479.9,"2,4,7,9-Tetramethyl-5-decyne-4,7-diol",1500,,344.566,NaOH,0,,,,,,,,,,,,,0,Water; Diisopropyl Ether,15,0
121,Isophthaloyl Chloride,986.601,"2,4,7,9-Tetramethyl-5-decyne-4,7-diol",1000,,229.71,NaOH,0,,,,,,,,,,,,,0,Water; Diisopropyl Ether,15,0
122,Adipoyl Chloride,1334.19,"2,4,7,9-Tetramethyl-5-decyne-4,7-diol",1500,,344.566,NaOH,0,,,,,,,,,,,,,0,Water; Diisopropyl Ether,15,0
123,Suberoyl chloride,512.909,"2,4,7,9-Tetramethyl-5-decyne-4,7-diol",500,,114.855,NaOH,0,,,,,,,,,,,,,0,Water; Diisopropyl Ether,15,0
124,Sebacoyl Chloride,1000,Pinacol,449.337,,197.663,NaOH,0,,,,,,,,,,,,,0,Water; Hexanes,15,0
125,Sebacoyl Chloride,619.388,"4,4'-Methylenebis(2,6-di-tert-butylphenol)",1000,,242.124,pyridine,0,,,,,,,,,,,,,0,DMF; Hexanes,15,0
126,Malonyl Chloride,437.511,"4,4′-Thiodiphenol",1000,,259.589,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
127,Terephthaloyl Chloride,630.177,"Phenol Red, Free Acid",1000,,259.589,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
128,Sebacoyl Chloride,1000,"Biphenyl-2,2′-diol",449.337,,197.66,NaOH,0,,,,,,,,,,,,,0,Water; Hexanes,15,0
129,Azelaoyl chloride,1000,"2,2′-Thiodiethanol",493.456,,209.983,NaOH,0,,,,,,,,,,,,,0,Water; Hexanes,15,0
130,Malonyl Chloride,782.186,Guaiacol glyceryl ether,1000,,262.315,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
131,Azelaoyl chloride,1000,Dianhydro-D-glucitol,590.015,,209.983,NaOH,0,,,,,,,,,,,,,0,Water; Hexanes,15,0
132,Azelaoyl chloride,1000,"4,4′-Sulfonylbis(2-methylphenol)",1123.98,,209.983,NaOH,0,,,,,,,,,,,,,0,Water; Hexanes,15,0
133,Malonyl Chloride,1268.88,"2,2′-Thiodiethanol",1000,,425.535,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
134,Azelaoyl chloride,583.049,"4,4'-Methylenebis(2,6-di-tert-butylphenol)",1000,,242.124,pyridine,0,,,,,,,,,,,,,0,DMF; Hexanes,15,0
135,Azelaoyl chloride,922.754,"4,4′-Cyclohexylidenebisphenol",1000,,383.194,pyridine,0,,,,,,,,,,,,,0,DMF; Hexanes,15,0
136,Suberoyl chloride,500,"2,2′-Thiodiethanol",263.115,,111.965,NaOH,0,,,,,,,,,,,,,0,Water; Hexanes,15,0
137,Suberoyl chloride,500,"cis-2-Butene-1,4-diol",189.729,,111.965,NaOH,0,,,,,,,,,,,,,0,Water; Hexanes,15,0
138,Malonyl Chloride,1061.23,Dianhydro-D-glucitol,1000,,355.894,NaOH,0,,,,,,,,,,,,,0,Water; Diethyl Ether,15,0
139,Dimethylmalonyl chloride,1000,"2,2′-Thiodiethanol",657.25,,279.683,NaOH,0,,,,,,,,,,,,,0,Water; Hexanes,15,0
140,Dimethylcarbonate,1852.17,"1,4-dithiane-2,5-diol",1000,,,,,8.02694,DMAP,0,,,,,,,,,,,,,0
141,Dimethylcarbonate,1928.97,Dianhydro-D-glucitol,1000,,,,,8.35979,DMAP,0,,,,,,,,,,,,,0
142,Dimethylcarbonate,1513.88,"Biphenyl-2,2′-diol",1000,,,,,6.56087,DMAP,0,,,,,,,,,,,,,0
143,Dimethylcarbonate,2385.34,"2,5-hexanediol(+isomers)",1000,,,,,10.3376,DMAP,0,,,,,,,,,,,,,0
144,Dimethylcarbonate,3704.82,"1,2-propanediol",1000,,,,,16.056,DMAP,0,,,,,,,,,,,,,0
145,Dimethylcarbonate,3128.02,"2,3-Butanediol",1000,,,,,13.5562,DMAP,0,,,,,,,,,,,,,0
146,Dimethylcarbonate,1877.21,triethylene glycol,1000,,,,,8.13545,DMAP,0,,,,,,,,,,,,,0
147,Dimethylcarbonate,1466.32,Tripropylene glycol,1000,,,,,6.35475,DMAP,0,,,,,,,,,,,,,0
148,Dimethylcarbonate,2560.4,Resorcinol,1000,,,,,11.0963,DMAP,0,,,,,,,,,,,,,0
149,Dimethylcarbonate,4541.65,ethylene glycol,1000,,,,,19.6826,DMAP,0,,,,,,,,,,,,,0
150,Dimethylcarbonate,2385.55,"3-methyl-1,5-pentanediol",1000,,,,,10.3385,DMAP,0,,,,,,,,,,,,,0
151,Dimethylcarbonate,1929.1,"2,2,4-Trimethyl-1,3-pentanediol",1000,,,,,8.36036,DMAP,0,,,,,,,,,,,,,0
152,Dimethylcarbonate,827.5,"trans-p-menth-6-ene-2,8diol",470,,,,,3.5,DMAP,0,,,,,,,,,,,,,0
153,Dimethylcarbonate,1982.42,"2,5-dimethyl-3-hexyne-2,5-diol",1000,,,,,8.59142,DMAP,0,,,,,,,,,,,,,0
154,[(Carboxymethyl)(methyl)amino]acetic acid,1244.81,ethylene glycol,630.739,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,0
155,[(Carboxymethyl)(methyl)amino]acetic acid,1244.81,"1,3-Propanediol",708.773,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,0
156,Adipic acid,1237.53,Dianhydro-D-glucitol,1237.19,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,0
157,succinic acid,1e+06,pinacol,1101,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,0
158,Adipic acid,1237.53,"cis-2-Butene-1,4-diol",783.432,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,0
159,Succinic acid,1e+06,"1,2-Propanediol",773.308,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,0
160,Malonic Acid,881.2,ethylene glycol,630.7,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,0
161,Malonic Acid,881.2,"1,9-nonanediol",1357,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,0
162,Malonic Acid,881.2,"1,10-decanediol",1475.82,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,0
163,Malonic Acid,881.2,"1,3-Propanediol",708.8,,,,,2.4,Ti(Opr)4,0,,,,,,,,,,,,,0
