Unsuccessful Combination Attempt Number,Reagent Role,Reagent,Mass,Volume
,,,mg,mL
,Monomer,"2,2-diethyl-1,3-propanediol",1000,
,Base,pyridine,777.8366112,
,Solvent,DMF,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
84,Monomer,Isophthaloyl Chloride,1115.271674,
,Monomer,"4,4'-Dihydroxydiphenylmethane",1000,
,Base,pyridine,513.5337595,
,Solvent,DMF,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
85,Monomer,Isophthaloyl Chloride,637.3162866,
,Monomer,"4,4′-(9-Fluorenylidene)diphenol",1000,
,Base,pyridine,293.456237,
,Solvent,DMF,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
86,Monomer,Isophthaloyl Chloride,1487.127922,
,Monomer,triethylene glycol,1000,
,Base,pyridine,684.7572751,
,Solvent,DMF,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
87,Monomer,Isophthaloyl Chloride,1664.433232,
,Monomer,dipropylene glycol,1000,
,Base,pyridine,766.3986048,
,Solvent,DMF,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
88,Monomer,Isophthaloyl Chloride,1161.622887,
,Monomer,Tripropylene glycol,1000,
,Base,pyridine,534.8764629,
,Solvent,DMF,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
89,Monomer,Isophthaloyl Chloride,1126.63707,
,Monomer,Guaiacol glyceryl ether,1000,
,Base,pyridine,518.7670265,
,Solvent,DMF,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
90,Monomer,Isophthaloyl Chloride,1199.301863,
,Monomer,"Biphenyl-2,2′-diol",1000,
,Base,pyridine,552.2259814,
,Solvent,DMF,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
91,Monomer,Isophthaloyl Chloride,2594.076841,
,Monomer,"2-Butyne-1,4-diol",1000,
,Base,pyridine,1194.458771,
,Solvent,DMF,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
92,Monomer,Isophthaloyl Chloride,1447.792545,
,Monomer,2-Hydroxyethyl disulfide,1000,
,Base,pyridine,666.6450567,
,Solvent,DMF,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
93,Monomer,Oxalyl Chloride,1223.260908,
,Monomer,"1,5-hexadiene-3,5-diol",1000,
,Base,NaOH,455.546697,
,Solvent,Water,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
94,Monomer,Oxalyl Chloride,820.1057269,
