Polymer Number,Reagent Role,Reagent,Mass,Volume
,,,mg,mL
,Monomer,"3-methyl-1,5-pentanediol",1000.00,
,Base,pyridine,870.11,
,Solvent,DMF,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
90,Monomer,Sebacoyl Chloride,759.24,
,Monomer,"1,3-Bis[2-(4-hydroxyphenyl)-2-propyl]benzene",1000.00,
,Base,pyridine,296.79,
,Solvent,DMF,,7.5
,Solvent,hexanes,,7.5
,,,,
91,Monomer,Adipoyl Chloride,1000.00,
,Monomer,"Naphthalene-1,5-diol",794.70,
,Base,NaOH,258.26,
,Solvent,Water,,7.5
,Solvent,Cyclohexane,,7.5
,,,,
92,Monomer,Adipoyl Chloride,1000.00,
,Monomer,"2,7-Naphthalenediol",794.70,
,Base,NaOH,258.26,
,Solvent,Water,,7.5
,Solvent,Cyclohexane,,7.5
,,,,
93,Monomer,Adipoyl Chloride,1000.00,
,Monomer,Guaiacol glyceryl ether,984.54,
,Base,NaOH,258.26,
,Solvent,Water,,7.5
,Solvent,Cyclohexane,,7.5
,,,,
94,Monomer,Adipoyl Chloride,1000.00,
,Monomer,Bis(4-hydroxyphenyl) Sulfone,1243.06,
,Base,NaOH,258.26,
,Solvent,Water,,7.5
,Solvent,Cyclohexane,,7.5
,,,,
95,Monomer,Sebacoyl Chloride,905.95,
,Monomer,"4,4′-(alpha-Methylbenzylidene)bisphenol",1000.00,
,Base,pyridine,354.14,
,Solvent,DMF,,7.5
,Solvent,hexanes,,7.5
,,,,
96,Monomer,Isophthaloyl Chloride,1000.00,
,Monomer,"2,5-dimethyl-3-hexyne-2,5-diol",762.35,
,Base,NaOH,232.83,
,Solvent,Water,,7.5
,Solvent,Diisopropyl Ether,,7.5
,,,,
97,Monomer,Sebacoyl Chloride,1000.00,
,Monomer,"2,5-dimethyl-3-hexyne-2,5-diol",540.57,
,Base,NaOH,197.66,
,Solvent,Water,,7.5
,Solvent,Hexanes,,7.5
,,,,
98,Monomer,Adipoyl Chloride,1000.00,
,Monomer,"2,2′-Thiodiethanol",606.90,
,Base,NaOH,258.26,
,Solvent,Water,,7.5
,Solvent,cylcohexane,,7.5
,,,,
99,Monomer,Adipoyl Chloride,1000.00,
,Monomer,"1,4-Dithiane-2,5-diol",756.16,
,Base,NaOH,258.26,
,Solvent,Water,,7.5
,Solvent,cylcohexane,,7.5
,,,,
100,Monomer,Adipoyl Chloride,1000.00,
,Monomer,"cis-2-Butene-1,4-diol",437.63,
,Base,NaOH,258.26,
,Solvent,Water,,7.5
,Solvent,cylcohexane,,7.5
,,,,
101,Monomer,Adipoyl Chloride,1000.00,
,Monomer,Resorcinol,546.86,
,Base,NaOH,258.26,
,Solvent,Water,,7.5
,Solvent,cylcohexane,,7.5
,,,,
102,Monomer,Adipoyl Chloride,1000.00,
,Monomer,"Biphenyl-2,2′-diol",587.09,
,Base,NaOH,258.26,
,Solvent,Water,,7.5
,Solvent,cylcohexane,,7.5
,,,,
103,Monomer,Malonyl Chloride,619.51,
,Monomer,Bis(4-hydroxyphenyl) Sulfone,1000.00,
,Base,NaOH,207.76,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
104,Monomer,Sebacoyl Chloride,375.35,
,Monomer,"4,4′-(9-Fluorenylidene)diphenol",500.00,
,Base,pyridine,146.73,
,Solvent,DMF,,7.5
,Solvent,hexanes,,7.5
,,,,
105,Monomer,Adipoyl Chloride,1000.00,
,Monomer,"4,4′-Sulfonylbis(2-methylphenol)",1382.39,
,Base,NaOH,258.26,
,Solvent,Water,,7.5
,Solvent,cylcohexane,,7.5
,,,,
106,Monomer,Adipoyl Chloride,881.92,
,Monomer,Bisphenol A,1000.00,
,Base,NaOH,227.76,
,Solvent,Water,,7.5
,Solvent,cylcohexane,,7.5
,,,,
107,Monomer,Adipoyl Chloride,581.10,
,Monomer,"1,3-Bis[2-(4-hydroxyphenyl)-2-propyl]benzene",1000.00,
,Base,NaOH,150.07,
,Solvent,Water,,7.5
,Solvent,cylcohexane,,7.5
,,,,
108,Monomer,Adipoyl Chloride,707.95,
,Monomer,"4,4′-Isopropylidenebis(2,6-dimethylphenol)",1000.00,
,Base,NaOH,182.83,
,Solvent,Water,,7.5
,Solvent,cylcohexane,,7.5
,,,,
109,Monomer,Adipoyl Chloride,693.39,
,Monomer,"4,4′-(alpha-Methylbenzylidene)bisphenol",1000.00,
,Base,NaOH,179.07,
,Solvent,Water,,7.5
,Solvent,cylcohexane,,7.5
,,,,
110,Monomer,Adipoyl Chloride,750.26,
,Monomer,"4,4′-Cyclohexylidenebisphenol",1000.00,
,Base,NaOH,193.76,
,Solvent,Water,,7.5
,Solvent,cylcohexane,,7.5
,,,,
111,Monomer,Adipoyl Chloride,804.46,
,Monomer,Bis(4-hydroxyphenyl) Sulfone,1000.00,
,Base,NaOH,207.76,
,Solvent,Water,,7.5
,Solvent,cylcohexane,,7.5
,,,,
112,Monomer,Adipoyl Chloride,2338.63,
,Monomer,"2-Butyne-1,4-diol",1000.00,
,Base,NaOH,603.97,
,Solvent,Water,,7.5
,Solvent,cylcohexane,,7.5
,,,,
113,Monomer,Adipoyl Chloride,922.40,
,Monomer,"4,4′-Thiodiphenol",1000.00,
,Base,NaOH,238.22,
,Solvent,Water,,7.5
,Solvent,cylcohexane,,7.5
,,,,
114,Monomer,Sebacoyl Chloride,1000.00,
,Monomer,Dianhydro-D-glucitol,555.40,
,Base,NaOH,197.66,
,Solvent,Water,,7.5
,Solvent,Hexanes,,7.5
,,,,
115,Monomer,Sebacoyl Chloride,1000.00,
,Monomer,Guaiacol glyceryl ether,753.53,
,Base,NaOH,197.66,
,Solvent,Water,,7.5
,Solvent,Hexanes,,7.5
,,,,
116,Monomer,Sebacoyl Chloride,1051.08,
,Monomer,Bis(4-hydroxyphenyl) Sulfone,1000.00,
,Base,NaOH,207.76,
,Solvent,Water,,7.5
,Solvent,Hexanes,,7.5
,,,,
117,Monomer,Terephthaloyl Chloride,1000.00,
,Monomer,Tripropylene glycol,860.86,
,Base,NaOH,232.83,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
118,Monomer,Terephthaloyl Chloride,1000.00,
,Monomer,Resorcinol,493.01,
,Base,NaOH,232.83,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
119,Monomer,Terephthaloyl Chloride,1000.00,
,Monomer,"Naphthalene-1,5-diol",716.45,
,Base,NaOH,232.83,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
120,Monomer,Terephthaloyl Chloride,1000.00,
,Monomer,"2,7-Naphthalenediol",716.45,
,Base,NaOH,232.83,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
121,Monomer,Terephthaloyl Chloride,1000.00,
,Monomer,"2-Butyne-1,4-diol",716.45,
,Base,NaOH,232.83,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
122,Monomer,Terephthaloyl Chloride,978.24,
,Monomer,Bisphenol A,1000.00,
,Base,NaOH,227.76,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
123,Monomer,Terephthaloyl Chloride,892.23,
,Monomer,"4,4'-Dihydroxydiphenylmethane",800.00,
,Base,NaOH,207.74,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
124,Monomer,Terephthaloyl Chloride,892.32,
,Monomer,Bis(4-hydroxyphenyl) Sulfone,1000.00,
,Base,NaOH,207.76,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
125,Monomer,Terephthaloyl Chloride,1023.15,
,Monomer,"4,4′-Thiodiphenol",1000.00,
,Base,NaOH,238.22,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
126,Monomer,Terephthaloyl Chloride,1126.64,
,Monomer,Guaiacol glyceryl ether,1000.00,
,Base,NaOH,262.32,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
127,Monomer,Terephthaloyl Chloride,1827.66,
,Monomer,"2,2′-Thiodiethanol",1000.00,
,Base,NaOH,425.53,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
128,Monomer,Terephthaloyl Chloride,1466.91,
,Monomer,"1,4-Dithiane-2,5-diol",1000.00,
,Base,NaOH,341.54,
,Solvent,Water,,7.5
,Solvent,Diethyl Ether,,7.5
,,,,
